INPUT:sent1;INPUT:sent2;INPUT:premise;INPUT:question;OUTPUT:variant;HINT:text;ASSIGNMENT:assignment_id;ASSIGNMENT:task_suite_id;ASSIGNMENT:worker_id;ASSIGNMENT:status;ASSIGNMENT:started
Я подал его на стол.;Я добавил в него соли.;Соус был пресный.;Что случилось в результате?;1;;0000b4a8a2--5e707f56711b9c012c85fb54;0000b4a8a2--5e707d5a1fcfde011aac08f7;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:42:14.690
Полотенце впитало жидкость.;Разлитая жидкость оставила липкие следы.;Я стал собирать разлитую жидкость бумажным полотенцем.;Что случилось в результате?;0;;0000b4a8a2--5e707f56711b9c012c85fb54;0000b4a8a2--5e707d5a1fcfde011aac08f7;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:42:14.690
Она заложила нужную страницу.;Она перечитала книгу.;Женщину прервали, когда она читала книгу.;Что случилось в результате?;0;;0000b4a8a2--5e707f56711b9c012c85fb54;0000b4a8a2--5e707d5a1fcfde011aac08f7;f30c634557aa6e39b048946a43f90c69;APPROVED;2020-03-17T07:42:14.690
Я опустился на колени посреди поля.;Я завернулся в одеяло.;Я чувствовал себя комфортно.;Что стало причиной этого?;1;;0000b4a8a2--5e707f56942cf60126623989;0000b4a8a2--5e707d5a1fcfde011aac0914;b8cb36b236e37e3280bf349baa230d41;APPROVED;2020-03-17T07:42:14.130
Он стал скользким.;Он стал блестящим.;Я полировал камень.;Что случилось в результате?;1;;0000b4a8a2--5e707f56942cf60126623989;0000b4a8a2--5e707d5a1fcfde011aac0914;b8cb36b236e37e3280bf349baa230d41;APPROVED;2020-03-17T07:42:14.130
Кофе сильно пах.;Кофе стал сладким.;Я добавил сахар в кофе.;Что случилось в результате?;1;;0000b4a8a2--5e707f56942cf60126623989;0000b4a8a2--5e707d5a1fcfde011aac0914;b8cb36b236e37e3280bf349baa230d41;APPROVED;2020-03-17T07:42:14.130
Он порезался бумагой.;Он уничтожил документы.;Мужчина пролистал документы.;Что случилось в результате?;0;;0000b4a8a2--5e707f56942cf60126623989;0000b4a8a2--5e707d5a1fcfde011aac0914;b8cb36b236e37e3280bf349baa230d41;APPROVED;2020-03-17T07:42:14.130
Гвоздь вонзился в дерево.;Гвоздь заржавел.;Я забивал гвоздь.;Что случилось в результате?;0;;0000b4a8a2--5e707f56942cf60126623989;0000b4a8a2--5e707d5a1fcfde011aac0914;b8cb36b236e37e3280bf349baa230d41;APPROVED;2020-03-17T07:42:14.130
Всю ночь лил дождь.;Он весь зарос сорняками.;Газон был грязный.;Что стало причиной этого?;0;;0000b4a8a2--5e707f56aedc8301261cbbb5;0000b4a8a2--5e707d5a1fcfde011aac0935;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:42:14.667
Она осталась ночевать в гостинице.;Она забыла завести будильник.;Женщина проспала.;Что стало причиной этого?;1;;0000b4a8a2--5e707f56aedc8301261cbbb5;0000b4a8a2--5e707d5a1fcfde011aac0935;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:42:14.667
Он сидел в тени.;Он пошёл на пляж.;Мужчина нанёс на кожу солнцезащитный крем.;Что стало причиной этого?;1;;0000b4a8a2--5e707f56aedc8301261cbbb5;0000b4a8a2--5e707d5a1fcfde011aac0935;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:42:14.667
Исследователи отказались от теории.;Люди приняли теорию.;Исследователи доказали теорию.;Что случилось в результате?;1;;0000b4a8a2--5e707f56aedc8301261cbbb5;0000b4a8a2--5e707d5a1fcfde011aac0935;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:42:14.667
Игра перешла в овертайм.;Судья принял неверное решение.;Болельщики на матче недовольно свистели.;Что стало причиной этого?;1;;0000b4a8a2--5e707f56aedc8301261cbbb5;0000b4a8a2--5e707d5a1fcfde011aac0935;0911cb7c42db62f52ac88826222101fc;APPROVED;2020-03-17T07:42:14.667
Прутик сгорел.;Огонь погас.;Девушка бросила прутик в костер.;Что случилось в результате?;0;;0000b4a8a2--5e707f56c83df801277af31d;0000b4a8a2--5e707d5a1fcfde011aac08e2;216bfa31bcc8a29c6ad083ab335386ff;APPROVED;2020-03-17T07:42:14.642
Горячей воды не было.;Он не мог найти полотенце.;Мужчина вышел из душа.;Что стало причиной этого?;1;;0000b4a8a2--5e707f56c83df801277af31d;0000b4a8a2--5e707d5a1fcfde011aac08e2;216bfa31bcc8a29c6ad083ab335386ff;APPROVED;2020-03-17T07:42:14.642
Они будут откладывать в накопительный фонд для обучения.;Они поощряют своих детей играть на улице.;Родители хотят, чтобы их дети ходили в колледж.;Что случилось в результате?;0;;0000b4a8a2--5e707f56c83df801277af31d;0000b4a8a2--5e707d5a1fcfde011aac08e2;216bfa31bcc8a29c6ad083ab335386ff;APPROVED;2020-03-17T07:42:14.642
Ботинки стали посвободнее.;Ботинки стали ношеными.;Мужчина расшнуровал ботинки.;Что случилось в результате?;0;;0000b4a8a2--5e707f56c83df801277af31d;0000b4a8a2--5e707d5a1fcfde011aac08e2;216bfa31bcc8a29c6ad083ab335386ff;APPROVED;2020-03-17T07:42:14.642
Он заморозил остатки.;Он сохранил рецепт.;Мужчина съел половину блюда.;Что случилось в результате?;0;;0000b4a8a2--5e707f56c83df801277af31d;0000b4a8a2--5e707d5a1fcfde011aac08e2;216bfa31bcc8a29c6ad083ab335386ff;APPROVED;2020-03-17T07:42:14.642
Он обнаружил крыс в подвале.;Он держал муравьиную ферму в своей комнате.;Домовладелец пригласил в дом дезинсектора.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5705a5060126babf56;0000b4a8a2--5e707d5a1fcfde011aac08ff;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:42:15.479
Я слишком устал, чтобы что-нибудь приготовить.;Моя гостья слишком засиделась у меня.;Я предложил моей гостье поужинать вне дома.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5705a5060126babf56;0000b4a8a2--5e707d5a1fcfde011aac08ff;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:42:15.479
Она начала прятать дневник.;Она завела новый дневник.;Девушка поймала брата за чтением её дневника.;Что случилось в результате?;0;;0000b4a8a2--5e707f5705a5060126babf56;0000b4a8a2--5e707d5a1fcfde011aac08ff;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:42:15.479
Она работала сверхурочно.;Она уволилась с работы.;Женщине не хватало денег на аренду.;Что случилось в результате?;0;;0000b4a8a2--5e707f5705a5060126babf56;0000b4a8a2--5e707d5a1fcfde011aac08ff;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:42:15.479
Он прикоснулся к горячей плите.;Он погладил щенка.;Ребёнок быстро отдёрнул руку.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5705a5060126babf56;0000b4a8a2--5e707d5a1fcfde011aac08ff;6827eb7a46422aa28b9273b23ac61f15;APPROVED;2020-03-17T07:42:15.479
Она проглотила еду.;Она подавилась едой.;Женщина схватилась за горло.;Что стало причиной этого?;1;;0000b4a8a2--5e707f57218d9b01257130aa;0000b4a8a2--5e707d5a1fcfde011aac08ea;ea61247858e22495263572c0a5825a9c;APPROVED;2020-03-17T07:42:15.467
Её голос звучал хрипло.;Она говорила с акцентом.;У женщины болело горло.;Что случилось в результате?;0;;0000b4a8a2--5e707f57218d9b01257130aa;0000b4a8a2--5e707d5a1fcfde011aac08ea;ea61247858e22495263572c0a5825a9c;APPROVED;2020-03-17T07:42:15.467
Он пускал слюни.;Он лёг.;Пёс посмотрел на мясо.;Что случилось в результате?;0;;0000b4a8a2--5e707f57218d9b01257130aa;0000b4a8a2--5e707d5a1fcfde011aac08ea;ea61247858e22495263572c0a5825a9c;APPROVED;2020-03-17T07:42:15.467
Она уволила своих сотрудников.;Она стала богатой.;Бизнес женщины был успешен.;Что случилось в результате?;1;;0000b4a8a2--5e707f57218d9b01257130aa;0000b4a8a2--5e707d5a1fcfde011aac08ea;ea61247858e22495263572c0a5825a9c;APPROVED;2020-03-17T07:42:15.467
Прозвенел звонок.;Учитель задал домашнее задание.;Студенты вышли из аудитории.;Что стало причиной этого?;0;;0000b4a8a2--5e707f57218d9b01257130aa;0000b4a8a2--5e707d5a1fcfde011aac08ea;ea61247858e22495263572c0a5825a9c;APPROVED;2020-03-17T07:42:15.467
Она знала, что все на вечеринке.;Она хотела сбежать с вечеринки.;Женщина надела туфельки.;Что стало причиной этого?;1;;0000b4a8a2--5e707f57aedc8301261cbbba;0000b4a8a2--5e707d5a1fcfde011aac091c;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:42:15.672
Она позволила мне проехать в объезд.;Она задержала меня у шлагбаума.;Я заплатил дежурной у шлагбаума.;Что случилось в результате?;0;;0000b4a8a2--5e707f57aedc8301261cbbba;0000b4a8a2--5e707d5a1fcfde011aac091c;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:42:15.672
Он продал свою долю в компании.;Он промотал свое состояние.;Исполнительный директор обанкротился.;Что стало причиной этого?;1;;0000b4a8a2--5e707f57aedc8301261cbbba;0000b4a8a2--5e707d5a1fcfde011aac091c;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:42:15.672
Врач был в отпуске.;Мужчина чувствовал себя плохо.;Человек пошёл к врачу.;Что стало причиной этого?;1;;0000b4a8a2--5e707f57aedc8301261cbbba;0000b4a8a2--5e707d5a1fcfde011aac091c;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:42:15.672
Дом был в огне.;Дом был пуст.;Я покинул спальню через окно.;Что стало причиной этого?;0;;0000b4a8a2--5e707f57aedc8301261cbbba;0000b4a8a2--5e707d5a1fcfde011aac091c;629cfef5c6b2c2ae0fcf39c39603bb13;APPROVED;2020-03-17T07:42:15.672
Всю ночь лил дождь.;Он весь зарос сорняками.;Газон был грязный.;Что стало причиной этого?;0;;0000b4a8a2--5e707f581de93a011fc884c8;0000b4a8a2--5e707d5a1fcfde011aac0935;1839822b90bd88b0a24163bcf6c85454;APPROVED;2020-03-17T07:42:16.758
Она осталась ночевать в гостинице.;Она забыла завести будильник.;Женщина проспала.;Что стало причиной этого?;1;;0000b4a8a2--5e707f581de93a011fc884c8;0000b4a8a2--5e707d5a1fcfde011aac0935;1839822b90bd88b0a24163bcf6c85454;APPROVED;2020-03-17T07:42:16.758
Он сидел в тени.;Он пошёл на пляж.;Мужчина нанёс на кожу солнцезащитный крем.;Что стало причиной этого?;1;;0000b4a8a2--5e707f581de93a011fc884c8;0000b4a8a2--5e707d5a1fcfde011aac0935;1839822b90bd88b0a24163bcf6c85454;APPROVED;2020-03-17T07:42:16.758
Исследователи отказались от теории.;Люди приняли теорию.;Исследователи доказали теорию.;Что случилось в результате?;1;;0000b4a8a2--5e707f581de93a011fc884c8;0000b4a8a2--5e707d5a1fcfde011aac0935;1839822b90bd88b0a24163bcf6c85454;APPROVED;2020-03-17T07:42:16.758
Игра перешла в овертайм.;Судья принял неверное решение.;Болельщики на матче недовольно свистели.;Что стало причиной этого?;1;;0000b4a8a2--5e707f581de93a011fc884c8;0000b4a8a2--5e707d5a1fcfde011aac0935;1839822b90bd88b0a24163bcf6c85454;APPROVED;2020-03-17T07:42:16.758
Я спала весь день.;Я училась весь день.;Я чувствовала себя обессиленной.;Что стало причиной этого?;1;;0000b4a8a2--5e707f58b918b9011655cd86;0000b4a8a2--5e707d5a1fcfde011aac0901;90d5ea1a3851d3410adcd286ad71ee0e;APPROVED;2020-03-17T07:42:16.130
Она определила симптомы пациента.;Она прописала таблетки для пациента.;Врач поставила пациенту диагноз.;Что стало причиной этого?;0;;0000b4a8a2--5e707f58b918b9011655cd86;0000b4a8a2--5e707d5a1fcfde011aac0901;90d5ea1a3851d3410adcd286ad71ee0e;APPROVED;2020-03-17T07:42:16.130
Он была потной.;Она зудела.;Я расчесал кожу.;Что стало причиной этого?;1;;0000b4a8a2--5e707f58b918b9011655cd86;0000b4a8a2--5e707d5a1fcfde011aac0901;90d5ea1a3851d3410adcd286ad71ee0e;APPROVED;2020-03-17T07:42:16.130
Он потерял уверенность в себе.;Он перенёс сердечный приступ.;Мужчине сделали экстренную операцию.;Что стало причиной этого?;1;;0000b4a8a2--5e707f58b918b9011655cd86;0000b4a8a2--5e707d5a1fcfde011aac0901;90d5ea1a3851d3410adcd286ad71ee0e;APPROVED;2020-03-17T07:42:16.130
Он напряг руки.;Он потирал руки.;Мышцы его рук вздулись.;Что стало причиной этого?;0;;0000b4a8a2--5e707f58b918b9011655cd86;0000b4a8a2--5e707d5a1fcfde011aac0901;90d5ea1a3851d3410adcd286ad71ee0e;APPROVED;2020-03-17T07:42:16.130
Он прогулял экзамен.;Он сдал экзамен.;Мальчик учился всю ночь.;Что случилось в результате?;1;;0000b4a8a2--5e707f591de93a011fc884d0;0000b4a8a2--5e707d5a1fcfde011aac08e7;a7d0e0bd6c49dcbe40e5a7112f542e8b;APPROVED;2020-03-17T07:42:17.923
Он боялся учиться плавать.;Спасатель был на дежурстве.;Мальчик уцепился за край бассейна.;Что стало причиной этого?;0;;0000b4a8a2--5e707f591de93a011fc884d0;0000b4a8a2--5e707d5a1fcfde011aac08e7;a7d0e0bd6c49dcbe40e5a7112f542e8b;APPROVED;2020-03-17T07:42:17.923
Я почувствовал своё сердцебиение.;Мой пульс ускорился.;Я положил руку себе на грудь.;Что случилось в результате?;0;;0000b4a8a2--5e707f591de93a011fc884d0;0000b4a8a2--5e707d5a1fcfde011aac08e7;a7d0e0bd6c49dcbe40e5a7112f542e8b;APPROVED;2020-03-17T07:42:17.923
Мой офис переполнен.;В моём кабинете шумно.;Здание, прилегающее к моему офису, ещё только строится.;Что случилось в результате?;1;;0000b4a8a2--5e707f591de93a011fc884d0;0000b4a8a2--5e707d5a1fcfde011aac08e7;a7d0e0bd6c49dcbe40e5a7112f542e8b;APPROVED;2020-03-17T07:42:17.923
Семья пригласила соседей на ужин.;Семья махнула помахала соседям с крыльца.;Семья захотела поближе узнать новых соседей.;Что случилось в результате?;0;;0000b4a8a2--5e707f591de93a011fc884d0;0000b4a8a2--5e707d5a1fcfde011aac08e7;a7d0e0bd6c49dcbe40e5a7112f542e8b;APPROVED;2020-03-17T07:42:17.923
Её приговорили к общественным работам.;Её поместили в камеру смертников.;Женщину признали виновной в небольшом правонарушении.;Что случилось в результате?;0;;0000b4a8a2--5e707f5a0b45eb012696bee4;0000b4a8a2--5e707d5a1fcfde011aac08f1;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:42:18.008
От чая пошёл пар.;Сахар растворился.;Я размешала сахар в горячем чае.;Что случилось в результате?;1;;0000b4a8a2--5e707f5a0b45eb012696bee4;0000b4a8a2--5e707d5a1fcfde011aac08f1;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:42:18.008
Он был призван на войну.;Он был ранен в бою.;Ветеран прихрамывал.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5a0b45eb012696bee4;0000b4a8a2--5e707d5a1fcfde011aac08f1;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:42:18.008
Полицейские заботились о жертве.;Полицейские преследовали преступника.;Преступник убегал от полиции.;Что случилось в результате?;1;;0000b4a8a2--5e707f5a0b45eb012696bee4;0000b4a8a2--5e707d5a1fcfde011aac08f1;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:42:18.008
Я его уронил.;Я его зарядил.;Ноутбук не включается.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5a0b45eb012696bee4;0000b4a8a2--5e707d5a1fcfde011aac08f1;3d912959dc0e78548eb548561b3677f8;APPROVED;2020-03-17T07:42:18.008
Он прогулял экзамен.;Он сдал экзамен.;Мальчик учился всю ночь.;Что случилось в результате?;1;;0000b4a8a2--5e707f5a9df9dc0126bc6451;0000b4a8a2--5e707d5a1fcfde011aac08e7;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:42:18.369
Он боялся учиться плавать.;Спасатель был на дежурстве.;Мальчик уцепился за край бассейна.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5a9df9dc0126bc6451;0000b4a8a2--5e707d5a1fcfde011aac08e7;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:42:18.369
Я почувствовал своё сердцебиение.;Мой пульс ускорился.;Я положил руку себе на грудь.;Что случилось в результате?;0;;0000b4a8a2--5e707f5a9df9dc0126bc6451;0000b4a8a2--5e707d5a1fcfde011aac08e7;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:42:18.369
Мой офис переполнен.;В моём кабинете шумно.;Здание, прилегающее к моему офису, ещё только строится.;Что случилось в результате?;1;;0000b4a8a2--5e707f5a9df9dc0126bc6451;0000b4a8a2--5e707d5a1fcfde011aac08e7;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:42:18.369
Семья пригласила соседей на ужин.;Семья махнула помахала соседям с крыльца.;Семья захотела поближе узнать новых соседей.;Что случилось в результате?;0;;0000b4a8a2--5e707f5a9df9dc0126bc6451;0000b4a8a2--5e707d5a1fcfde011aac08e7;d5ee2c2689eac0c49a7146981a2e624c;APPROVED;2020-03-17T07:42:18.369
Грязь прилипла к его ботинкам.;Грязь попала ему в лицо.;Мальчик шагнул в грязь.;Что случилось в результате?;0;;0000b4a8a2--5e707f5aaa2c2f24e8fcfbb6;0000b4a8a2--5e707d5a1fcfde011aac08f5;91bcf056143cef79e755886464b6935b;APPROVED;2020-03-17T07:42:18.656
Школы закрыли.;Люди попрятались в подполье.;В городе выпало несколько дюймов снега.;Что случилось в результате?;0;;0000b4a8a2--5e707f5aaa2c2f24e8fcfbb6;0000b4a8a2--5e707d5a1fcfde011aac08f5;91bcf056143cef79e755886464b6935b;APPROVED;2020-03-17T07:42:18.656
Он ушёл домой на выходной.;Он грозился бросить работу.;Смена работника закончилась.;Что случилось в результате?;0;;0000b4a8a2--5e707f5aaa2c2f24e8fcfbb6;0000b4a8a2--5e707d5a1fcfde011aac08f5;91bcf056143cef79e755886464b6935b;APPROVED;2020-03-17T07:42:18.656
Дерево упало на крышу.;Дерево затенило задний двор.;Дерево повредило дом.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5aaa2c2f24e8fcfbb6;0000b4a8a2--5e707d5a1fcfde011aac08f5;91bcf056143cef79e755886464b6935b;APPROVED;2020-03-17T07:42:18.656
Я сложил дрова в камине.;Я с размаху ударил по полену топором.;Полено раскололось пополам.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5aaa2c2f24e8fcfbb6;0000b4a8a2--5e707d5a1fcfde011aac08f5;91bcf056143cef79e755886464b6935b;APPROVED;2020-03-17T07:42:18.656
Всю ночь лил дождь.;Он весь зарос сорняками.;Газон был грязный.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5b4c82190116b9a596;0000b4a8a2--5e707d5a1fcfde011aac0935;94592fb70b782fb3ed05b32c8a4e3f7c;APPROVED;2020-03-17T07:42:19.821
Она осталась ночевать в гостинице.;Она забыла завести будильник.;Женщина проспала.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5b4c82190116b9a596;0000b4a8a2--5e707d5a1fcfde011aac0935;94592fb70b782fb3ed05b32c8a4e3f7c;APPROVED;2020-03-17T07:42:19.821
Он сидел в тени.;Он пошёл на пляж.;Мужчина нанёс на кожу солнцезащитный крем.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5b4c82190116b9a596;0000b4a8a2--5e707d5a1fcfde011aac0935;94592fb70b782fb3ed05b32c8a4e3f7c;APPROVED;2020-03-17T07:42:19.821
Исследователи отказались от теории.;Люди приняли теорию.;Исследователи доказали теорию.;Что случилось в результате?;1;;0000b4a8a2--5e707f5b4c82190116b9a596;0000b4a8a2--5e707d5a1fcfde011aac0935;94592fb70b782fb3ed05b32c8a4e3f7c;APPROVED;2020-03-17T07:42:19.821
Игра перешла в овертайм.;Судья принял неверное решение.;Болельщики на матче недовольно свистели.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5b4c82190116b9a596;0000b4a8a2--5e707d5a1fcfde011aac0935;94592fb70b782fb3ed05b32c8a4e3f7c;APPROVED;2020-03-17T07:42:19.821
Ветер стал сильнее.;Поджигатели были задержаны.;Лесной пожар распространялся.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5b889638012733ccdc;0000b4a8a2--5e707d5a1fcfde011aac0902;14a90a7ea532172dc381b65d49af61ec;APPROVED;2020-03-17T07:42:19.058
Мать отправила его в комнату.;Мать наложила на рану повязку.;Ребенок ободрал колено.;Что случилось в результате?;1;;0000b4a8a2--5e707f5b889638012733ccdc;0000b4a8a2--5e707d5a1fcfde011aac0902;14a90a7ea532172dc381b65d49af61ec;APPROVED;2020-03-17T07:42:19.058
Он написал завещание.;Ему сделали пересадку органов.;Человек выжил после смертельной болезни.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5b889638012733ccdc;0000b4a8a2--5e707d5a1fcfde011aac0902;14a90a7ea532172dc381b65d49af61ec;APPROVED;2020-03-17T07:42:19.058
Я прикусил язык.;Я обжёг язык.;Я отхлебнул горячего кофе.;Что случилось в результате?;1;;0000b4a8a2--5e707f5b889638012733ccdc;0000b4a8a2--5e707d5a1fcfde011aac0902;14a90a7ea532172dc381b65d49af61ec;APPROVED;2020-03-17T07:42:19.058
Писатель избегал предвзятости в тексте.;Писатель пропустил важный дедлайн.;Редактор уволил писателя.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5b889638012733ccdc;0000b4a8a2--5e707d5a1fcfde011aac0902;14a90a7ea532172dc381b65d49af61ec;APPROVED;2020-03-17T07:42:19.058
Её знакомые ей не поверили.;Её знакомые связались с ней.;Женщина утверждала, что видела призрак.;Что случилось в результате?;0;;0000b4a8a2--5e707f5bb918b9011655cda4;0000b4a8a2--5e707d5a1fcfde011aac08e9;548d98e31a9548adf0d761367bef37f1;APPROVED;2020-03-17T07:42:19.316
Он чуть не утонул в океане.;Его чуть не убило взрывом.;Человек потерял слух.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5bb918b9011655cda4;0000b4a8a2--5e707d5a1fcfde011aac08e9;548d98e31a9548adf0d761367bef37f1;APPROVED;2020-03-17T07:42:19.316
Воздушный шар сдулся.;Воздушный шар улетел.;Ребёнок выпустил из рук веревочку воздушного шара.;Что случилось в результате?;1;;0000b4a8a2--5e707f5bb918b9011655cda4;0000b4a8a2--5e707d5a1fcfde011aac08e9;548d98e31a9548adf0d761367bef37f1;APPROVED;2020-03-17T07:42:19.316
Он перенёс инсульт.;Он сделал глубокий вдох.;Человек потерял способность говорить.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5bb918b9011655cda4;0000b4a8a2--5e707d5a1fcfde011aac08e9;548d98e31a9548adf0d761367bef37f1;APPROVED;2020-03-17T07:42:19.316
В асфальте была трещина.;Ей показалось, что её зовут.;Женщина споткнулась на тротуаре.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5bb918b9011655cda4;0000b4a8a2--5e707d5a1fcfde011aac08e9;548d98e31a9548adf0d761367bef37f1;APPROVED;2020-03-17T07:42:19.316
Мужчина потуже затянул ремень безопасности.;Мужчина выглянул в окно.;Самолет попал в турбулентность.;Что случилось в результате?;0;;0000b4a8a2--5e707f5bf23b9201282c31dc;0000b4a8a2--5e707d5a1fcfde011aac08f6;986ce72779f88635205e7a1c86f6454d;APPROVED;2020-03-17T07:42:19.219
Девушка проигнорировала его.;Девушка толкнула его.;Мальчик дёрнулся.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5bf23b9201282c31dc;0000b4a8a2--5e707d5a1fcfde011aac08f6;986ce72779f88635205e7a1c86f6454d;APPROVED;2020-03-17T07:42:19.219
Ей ампутировали ногу.;Они мониторили её состояние.;Врачи дали пациентке искусственную конечность.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5bf23b9201282c31dc;0000b4a8a2--5e707d5a1fcfde011aac08f6;986ce72779f88635205e7a1c86f6454d;APPROVED;2020-03-17T07:42:19.219
Она в ответ пожала плечами.;Она вырвала у него свою руку.;Мальчик схватил девушку за локоть.;Что случилось в результате?;1;;0000b4a8a2--5e707f5bf23b9201282c31dc;0000b4a8a2--5e707d5a1fcfde011aac08f6;986ce72779f88635205e7a1c86f6454d;APPROVED;2020-03-17T07:42:19.219
Я ценил его мнение.;Я знал, что я был прав.;Я спросил совета у друга.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5bf23b9201282c31dc;0000b4a8a2--5e707d5a1fcfde011aac08f6;986ce72779f88635205e7a1c86f6454d;APPROVED;2020-03-17T07:42:19.219
Лифт приехал на назначенный этаж.;Лифт застрял между этажами.;Двери лифта открылись.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5c125ee10125da1e10;0000b4a8a2--5e707d5a1fcfde011aac092e;f8e2d7a004198618c5cfe09da2fd21ca;APPROVED;2020-03-17T07:42:20.724
Он лгал своим родителям.;Его родители наказали его.;Подросток сбежал из дома.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5c125ee10125da1e10;0000b4a8a2--5e707d5a1fcfde011aac092e;f8e2d7a004198618c5cfe09da2fd21ca;APPROVED;2020-03-17T07:42:20.724
Унитаз засорился.;Водонагреватель сломался.;Ванная комната затоплена.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5c125ee10125da1e10;0000b4a8a2--5e707d5a1fcfde011aac092e;f8e2d7a004198618c5cfe09da2fd21ca;APPROVED;2020-03-17T07:42:20.724
Хозяин надел ошейник на щенка.;Владелец держал щенка на поводке.;Щенок стоял рядом с хозяином.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5c125ee10125da1e10;0000b4a8a2--5e707d5a1fcfde011aac092e;f8e2d7a004198618c5cfe09da2fd21ca;APPROVED;2020-03-17T07:42:20.724
Он стоял под раскидистым деревом.;Он стоял над спокойным озером.;Мужчина увидел свое отражение.;Что стало причиной этого?;1;;0000b4a8a2--5e707f5c125ee10125da1e10;0000b4a8a2--5e707d5a1fcfde011aac092e;f8e2d7a004198618c5cfe09da2fd21ca;APPROVED;2020-03-17T07:42:20.724
Прутик сгорел.;Огонь погас.;Девушка бросила прутик в костер.;Что случилось в результате?;0;;0000b4a8a2--5e707f5ce369f101187a1a20;0000b4a8a2--5e707d5a1fcfde011aac08e2;ecb98ec6a36f2732812a997a16c4dc98;APPROVED;2020-03-17T07:42:20.697
Горячей воды не было.;Он не мог найти полотенце.;Мужчина вышел из душа.;Что стало причиной этого?;0;;0000b4a8a2--5e707f5ce369f101187a1a20;0000b4a8a2--5e707d5a1fcfde011aac08e2;ecb98ec6a36f2732812a997a16c4dc98;APPROVED;2020-03-17T07:42:20.697
Они будут откладывать в накопительный фонд для обучения.;Они поощряют своих детей играть на улице.;Родители хотят, чтобы их дети ходили в колледж.;Что случилось в результате?;0;;0000b4a8a2--5e707f5ce369f101187a1a20;0000b4a8a2--5e707d5a1fcfde011aac08e2;ecb98ec6a36f2732812a997a16c4dc98;APPROVED;2020-03-17T07:42:20.697
Ботинки стали посвободнее.;Ботинки стали ношеными.;Мужчина расшнуровал ботинки.;Что случилось в результате?;0;;0000b4a8a2--5e707f5ce369f101187a1a20;0000b4a8a2--5e707d5a1fcfde011aac08e2;ecb98ec6a36f2732812a997a16c4dc98;APPROVED;2020-03-17T07:42:20.697
Он заморозил остатки.;Он сохранил рецепт.;Мужчина съел половину блюда.;Что случилось в результате?;0;;0000b4a8a2--5e707f5ce369f101187a1a20;0000b4a8a2--5e707d5a1fcfde011aac08e2;ecb98ec6a36f2732812a997a16c4dc98;APPROVED;2020-03-17T07:42:20.697
